FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,HygieneScore,StructuralScore,ConfidenceInManagementScore,Latitude,Longitude
629799,12/00305/MIXED,Kids Club,Other catering premises,7841,The Rec House,High Street,Twerton,Bath,BA2 1DQ,5,fhrs_5_en-GB,2014-02-03,5,0,5,51.38080100000000,51.38080100000000
205161,06/00040/MIXED,Kindling Coffee Company,Restaurant/Cafe/Canteen,1,Kindling Coffee Company,9 Claverton Buildings,Widcombe,Bath,BA2 4LD,3,fhrs_3_en-GB,2013-03-07,10,10,10,51.37668400000000,51.37668400000000
205224,09030/7000/2/000,King Edwards Junior School,School/college/university,7845,North Road,Bathwick,Bath,Bath And North East Somerset,BA2 6JA,5,fhrs_5_en-GB,2008-06-12,0,5,0,51.38760500000000,51.38760500000000
205285,14180/5000/2/000,King Edward's Pre-Prep,School/college/university,7845,King Edwards Pre-Prep School,Weston Lane,Lower Weston,Bath,BA1 4AQ,5,fhrs_5_en-GB,2012-01-18,0,0,0,51.39051100000000,51.39051100000000
203918,08/00121/FOOD,King Edwards School Sixth Form Cafe,School/college/university,7845,Sixth Form  King Edwards School,North Road,Bathwick,Bath,BA2 6HY,5,fhrs_5_en-GB,2011-01-18,0,0,0,51.37868700000000,51.37868700000000
204406,09030/0011/2/000,King Edwards Senior School,School/college/university,7845,King Edwards School,North Road,Bathwick,Bath,BA2 6HY,5,fhrs_5_en-GB,2011-01-18,0,5,0,51.37868700000000,51.37868700000000
204258,06510/0005/3/C03,King Of Wessex,Pub/bar/nightclub,7843,Unit 1 Wetherspoons King Of Wessex,Kingsmead Leisure Complex,5 - 10 James Street West,Bath,BA1 2DT,5,fhrs_5_en-GB,2013-07-22,0,5,5,51.41457000000000,51.41457000000000
482002,12/00302/MIXED,King William,Pub/bar/nightclub,7843,King William Iv Inn,Tunley Road,Tunley,Bath,BA2 0EB,4,fhrs_4_en-GB,2012-11-01,5,10,5,51.33395900000000,51.33395900000000
205242,05/00081/FOOD,King William,Pub/bar/nightclub,7843,The King William Public House,36 Thomas Street,Walcot,Bath,BA1 5NN,3,fhrs_3_en-GB,2012-04-17,5,10,10,51.39096700000000,51.39096700000000
205323,03210/0054/0/000,King William IV Public House,Pub/bar/nightclub,7843,King William Iv,54 Combe Road,Combe Down,Bath,BA2 5HY,5,fhrs_5_en-GB,2014-04-15,5,0,5,51.35910100000000,51.35910100000000
446345,12/00203/MIXED,Kingfisher Lodge Care Centre,Hospitals/Childcare/Caring Premises,5,Chestnut Walk,Saltford,"","",BS31 3BG,5,fhrs_5_en-GB,2012-08-15,0,0,0,51.40243000000000,51.40243000000000
205222,05990/0040/0/000,Kings Head Public House,Pub/bar/nightclub,7843,Kings Head,40 High Street,Upper Weston,Bath,BA1 4BX,3,fhrs_3_en-GB,2012-11-20,10,10,5,51.39566100000000,51.39566100000000
359665,12/00137/MIXED,Kings Kebabs,Mobile caterer,7846,Dry Arch,Warminster Road,Bathampton,Bath,BA2 6XH,3,fhrs_3_en-GB,2012-03-07,10,10,10,51.39086500000000,51.39086500000000
359663,12/00128/MIXED,Kings Mix Grill (Flames),Takeaway/sandwich shop,7844,Kings Hot Grill,4 Cleveland Place East,Walcot,Bath,BA1 5DJ,3,fhrs_3_en-GB,2013-05-13,10,10,10,51.39003200000000,51.39003200000000
205009,03150/4000/2/000,Kingswood Preparatory School,School/college/university,7845,College Road,Lansdown,Bath,Bath And North East Somerset,BA1 5SD,5,fhrs_5_en-GB,2013-09-10,0,5,0,51.39715500000000,51.39715500000000
205022,07120/7400/2/001,Kingswood School,School/college/university,7845,Lansdown Road,Lansdown,Bath,Bath And North East Somerset,BA1 5RG,5,fhrs_5_en-GB,2013-03-15,0,5,0,51.39890000000000,51.39890000000000
204186,10/00367/MIXED,Kiss The Frog Again,Retailers - other,4613,5 Broad Street,City Centre,Bath,Bath And North East Somerset,BA1 5LJ,Exempt,fhrs_exempt_en-GB,2014-02-25,"","","",51.38412000000000,51.38412000000000
588711,13/00060/MIXED,Koh Thai Tapas Bath,Other catering premises,7841,36 Broad Street,City Centre,Bath,"",BA1 5LP,5,fhrs_5_en-GB,2013-09-17,5,5,0,51.38414000000000,51.38414000000000
205361,08/00205/MIXED,Komedia/River Cottage Canteen,Restaurant/Cafe/Canteen,1,Komedia,22 - 23 Westgate Street,City Centre,Bath,BA1 1EP,4,fhrs_4_en-GB,2013-06-27,"","","",51.38149100000000,51.38149100000000
